cycle_count,cycle,price_inf,sum(Farmer collect each.cash) / 1000000000
0,0,1.093606765819431,0.0
1,1,1.093606765819431,0.0
2,2,1.093606765819431,0.0
3,3,1.093606765819431,-0.00020163574003002
4,4,1.093606765819431,-0.00045441512907809
5,5,1.093606765819431,-0.00065094745295184
6,6,1.093606765819431,-0.00081420474312833
7,7,1.093606765819431,-0.00115716882946811
8,8,1.093606765819431,-0.0015793084598609
9,9,1.093606765819431,-0.00194106736601839
10,10,1.093606765819431,-0.00233646461907453
11,11,1.093606765819431,-0.00267893467515986
12,12,1.093606765819431,-0.0032442845363818
13,13,1.093606765819431,-0.00374356852367047
14,14,1.093606765819431,-0.00419606336619252
15,15,1.093606765819431,-0.00472512305266152
16,16,1.093606765819431,-0.00520260757554675
17,17,1.093606765819431,-0.00572955581206589
18,18,1.093606765819431,-0.00624315189044659
19,19,1.093606765819431,-0.00674074700367648
20,20,1.093606765819431,-0.00723862971456256
21,21,1.093606765819431,-0.00794638757320762
22,22,1.093606765819431,-0.00851873518068115
23,23,1.093606765819431,-0.00909048653041862
24,24,1.093606765819431,-0.00966223788015609
25,25,1.093606765819431,-0.01045172892114517
26,26,1.093606765819431,-0.01119627109392895
27,27,1.093606765819431,-0.01189463291878729
28,28,1.093606765819431,-0.01273454341405334
29,29,1.093606765819431,-0.01355542664969023
30,30,1.093606765819431,-0.01432439179387489
31,31,1.093606765819431,-0.01509473435424359
32,32,1.093606765819431,-0.01586486053255737
33,33,1.093606765819431,-0.01663524361989793
34,34,1.093606765819431,-0.01740599357951303
35,35,1.093606765819431,-0.01817672830911532
36,36,1.093606765819431,-0.01894735692606562
37,37,1.093606765819431,-0.01971774039409069
38,38,1.093606765819431,-0.02048934598565267
39,39,1.093606765819431,-0.02126028033990201
40,40,1.093606765819431,-0.02203095852721484
41,41,1.093606765819431,-0.0228008583183403
42,42,1.093606765819431,-0.02357181658942644
43,43,1.093606765819431,-0.02434263605904732
44,44,1.093606765819431,-0.02511331137384648
45,45,1.093606765819431,-0.02588359340359369
46,46,1.093606765819431,-0.02665323978055621
47,47,1.093606765819431,-0.02742274408097071
48,48,1.093606765819431,-0.02819372738572183
49,49,1.093606765819431,-0.02896463457910529
50,50,1.093606765819431,-0.02973547057517005
51,51,1.093606765819431,-0.03050649059628525
52,52,1.093606765819431,-0.03127722886483909
53,53,1.093606765819431,-0.03204787747813258
54,54,1.093606765819431,-0.03281847955301682
55,55,1.093606765819431,-0.033589391033839
56,56,1.093606765819431,-0.03435984283392187
57,57,1.093606765819431,-0.03513082520301592
58,58,1.093606765819431,-0.03590160376357383
59,59,1.093606765819431,-0.03667254517804763
60,60,1.093606765819431,-0.03744285936185288
61,61,1.093606765819431,-0.03821393660817808
62,62,1.093606765819431,-0.03898441112202645
63,63,1.093606765819431,-0.03975550382461308
64,64,1.093606765819431,-0.04052503572372698
65,65,1.093606765819431,-0.04129590250033539
66,66,1.093606765819431,-0.04206586404760516
67,67,1.093606765819431,-0.04283626343502166
